0.000000;0.000000;0.000000
0.015625;0.000000;0.015625
0.015625;0.000000;0.015625
0.015625;0.015625;0.000000
0.031250;0.015625;0.015625
0.046875;0.031250;0.000000
0.046875;0.046875;0.000000
0.062500;0.031250;0.015625
0.093750;0.078125;0.015625
0.109375;0.109375;0.000000
0.156250;0.140625;0.000000
0.171875;0.156250;0.015625
0.187500;0.187500;0.000000
0.250000;0.234375;0.000000
0.265625;0.234375;0.000000
0.296875;0.281250;0.015625
0.312500;0.265625;0.015625
0.359375;0.359375;0.000000
0.390625;0.390625;0.000000
0.468750;0.468750;0.000000
0.500000;0.484375;0.000000
0.593750;0.562500;0.015625
0.578125;0.562500;0.000000
0.687500;0.671875;0.000000
0.750000;0.750000;0.000000
0.718750;0.687500;0.015625
0.843750;0.843750;0.000000
0.843750;0.828125;0.000000
0.906250;0.859375;0.015625
1.000000;0.968750;0.015625
1.062500;1.046875;0.015625
1.187500;1.109375;0.046875
1.218750;1.187500;0.031250
1.265625;1.234375;0.015625
1.453125;1.406250;0.015625
1.515625;1.500000;0.015625
1.656250;1.625000;0.000000
1.609375;1.593750;0.015625
1.812500;1.718750;0.031250
2.000000;1.953125;0.031250
1.812500;1.750000;0.015625
1.984375;1.937500;0.031250
2.093750;2.062500;0.031250
2.156250;2.062500;0.031250
2.265625;2.203125;0.046875
2.265625;2.250000;0.000000
2.375000;2.312500;0.000000
2.515625;2.484375;0.015625
2.578125;2.484375;0.062500
2.687500;2.656250;0.015625
2.828125;2.796875;0.015625
2.968750;2.906250;0.015625
3.062500;3.015625;0.031250
3.203125;3.156250;0.015625
3.218750;3.187500;0.000000
3.406250;3.359375;0.015625
3.578125;3.515625;0.031250
3.671875;3.625000;0.031250
3.718750;3.671875;0.031250
3.875000;3.796875;0.015625
4.015625;4.000000;0.000000
4.156250;4.109375;0.015625
4.281250;4.281250;0.000000
4.453125;4.406250;0.015625
4.578125;4.578125;0.000000
4.765625;4.687500;0.046875
4.906250;4.890625;0.000000
5.015625;4.968750;0.031250
5.234375;5.234375;0.000000
5.328125;5.234375;0.015625
5.562500;5.515625;0.031250
5.703125;5.640625;0.015625
5.812500;5.734375;0.000000
6.000000;5.968750;0.015625
6.171875;6.093750;0.062500
6.296875;6.265625;0.000000
6.437500;6.437500;0.000000
6.531250;6.468750;0.031250
6.750000;6.687500;0.031250
7.015625;6.984375;0.015625
7.265625;7.187500;0.046875
7.375000;7.250000;0.093750
7.484375;7.421875;0.015625
7.656250;7.609375;0.015625
7.796875;7.703125;0.062500
8.140625;8.062500;0.015625
8.593750;8.500000;0.046875
9.281250;9.187500;0.031250
8.953125;8.921875;0.031250
8.984375;8.906250;0.062500
9.109375;9.031250;0.000000
9.125000;9.078125;0.015625
9.671875;9.578125;0.078125
9.718750;9.656250;0.031250
9.859375;9.750000;0.031250
10.359375;10.250000;0.046875
10.531250;10.484375;0.015625
10.937500;10.875000;0.031250
11.046875;10.968750;0.031250
10.843750;10.750000;0.078125
